,stature,weightkg,chestcircumference,waistcircumference
1,1665,534,839,708
3,1660,782,1008,923
7,1671,760,968,914
11,1668,742,1034,942
14,1599,709,989,929
25,1579,708,1026,1000
26,1446,488,832,742
29,1619,610,904,821
30,1592,658,951,930
44,1608,748,945,865
55,1546,607,946,832
57,1605,689,940,878
61,1670,854,1090,1062
63,1635,790,1132,987
69,1617,618,890,805
72,1581,614,896,839
74,1554,730,1092,1001
75,1756,737,920,860
76,1566,693,1071,922
86,1581,674,998,917
87,1609,686,930,865
91,1642,555,852,759
93,1669,593,841,694
94,1745,998,1057,1068
95,1495,581,986,948
96,1493,642,951,912
100,1625,665,978,822
101,1670,685,978,885
102,1616,579,870,764
104,1730,591,921,809
105,1501,450,846,739
106,1515,572,959,826
107,1576,721,1022,962
110,1737,791,936,889
113,1604,628,981,831
114,1673,788,1037,958
116,1538,752,1052,1070
119,1620,613,930,858
120,1733,742,937,859
123,1624,661,985,880
124,1507,505,844,759
127,1675,610,862,731
128,1526,581,863,820
130,1584,575,815,740
131,1671,797,1057,1024
132,1552,745,1137,932
134,1530,677,1004,896
135,1606,508,844,738
136,1617,633,950,832
142,1572,616,962,853
144,1662,507,828,737
156,1690,810,983,1044
157,1698,649,895,817
160,1666,805,1012,939
162,1595,673,977,915
177,1661,748,1002,879
180,1533,499,844,748
184,1653,676,918,803
186,1658,666,971,810
190,1539,643,990,923
193,1617,694,993,924
196,1632,540,818,708
198,1682,681,916,830
200,1672,672,881,883
202,1623,566,854,767
203,1633,585,887,868
204,1526,628,1005,938
205,1570,467,825,682
208,1637,813,1026,1060
209,1718,719,979,922
211,1520,485,844,707
214,1642,636,938,929
229,1558,727,1086,1004
232,1658,725,964,906
234,1661,561,862,738
242,1498,664,988,922
249,1565,640,935,835
251,1570,502,836,671
252,1556,597,949,769
255,1681,631,915,758
285,1649,596,890,805
296,1627,613,923,688
307,1576,842,1196,1111
309,1754,896,1052,969
310,1709,842,1014,942
312,1587,596,896,887
319,1600,699,976,880
321,1535,701,986,829
323,1583,789,1004,973
324,1608,592,896,845
325,1663,583,861,828
326,1609,746,951,1020
328,1704,853,1034,1007
330,1506,577,955,804
331,1583,565,867,811
336,1640,641,946,849
339,1562,561,918,799
344,1608,662,1058,884
346,1590,564,859,785
347,1575,653,980,870
350,1616,632,959,855
351,1646,697,988,869
353,1617,570,827,722
354,1527,742,1089,1034
358,1672,815,1131,954
362,1643,735,960,912
364,1583,659,1023,935
368,1656,654,950,806
370,1631,856,1159,1044
376,1599,771,1122,938
382,1626,724,1086,856
383,1536,617,968,868
391,1708,799,1028,970
399,1580,508,836,705
435,1525,558,852,865
436,1650,983,1142,1154
437,1537,535,870,814
483,1584,722,1025,898
499,1500,644,1027,907
502,1727,847,1095,1029
504,1519,552,981,848
505,1700,832,1113,955
506,1628,694,860,807
509,1583,678,925,900
511,1697,618,873,720
517,1522,555,891,885
518,1651,779,997,816
520,1608,785,1008,965
533,1568,658,930,890
536,1646,629,882,874
543,1623,709,967,865
544,1518,509,841,752
545,1525,623,1008,877
548,1601,671,983,903
575,1585,504,810,759
577,1547,530,897,770
582,1583,659,913,906
585,1619,593,920,811
586,1704,695,902,888
596,1663,837,1000,888
600,1643,748,1016,950
604,1525,563,883,812
610,1543,669,968,975
611,1562,597,923,853
612,1627,720,897,885
622,1592,603,904,770
624,1620,573,878,849
626,1661,603,876,749
631,1505,518,850,752
634,1613,690,1004,906
635,1666,680,905,870
636,1565,609,918,860
641,1552,431,825,658
642,1559,746,985,873
643,1595,712,998,1033
662,1525,523,838,736
668,1555,547,885,807
670,1631,604,833,750
671,1563,669,919,881
676,1462,519,845,829
677,1599,640,930,943
680,1634,598,908,796
684,1604,595,773,767
693,1638,630,839,825
694,1676,606,803,734
696,1675,654,914,813
698,1679,731,1006,955
701,1533,598,909,827
704,1496,488,786,697
710,1690,649,892,802
714,1541,478,812,706
718,1565,512,784,755
719,1530,496,804,765
721,1615,680,927,868
723,1679,591,846,785
724,1662,712,909,864
727,1495,487,814,726
730,1566,567,894,888
732,1604,542,787,739
734,1627,672,989,880
736,1602,585,883,803
737,1615,605,930,787
743,1680,725,958,857
745,1529,501,802,700
747,1709,787,942,832
748,1589,572,947,818
756,1623,782,958,900
757,1686,611,880,791
758,1587,631,1011,895
759,1546,540,803,710
761,1519,577,848,812
772,1602,844,1073,976
774,1607,749,1057,927
775,1582,827,1043,1032
779,1724,785,1036,925
780,1657,669,965,833
786,1606,637,953,875
787,1644,700,975,906
796,1657,618,883,791
802,1680,684,927,800
810,1606,632,910,807
813,1603,616,898,839
818,1435,478,860,760
821,1676,686,1017,887
829,1673,631,865,791
830,1662,729,950,846
831,1576,548,906,762
834,1620,580,815,793
838,1714,849,956,916
840,1590,609,855,778
842,1769,832,946,897
844,1533,695,973,935
845,1592,609,848,828
846,1609,650,903,841
849,1574,701,902,827
850,1617,689,930,887
852,1679,736,931,917
853,1700,564,826,739
854,1623,566,847,779
856,1598,660,920,860
859,1685,776,1025,908
861,1674,675,945,904
865,1563,744,998,1046
867,1439,585,982,824
868,1718,810,1018,955
869,1589,511,796,717
872,1552,591,884,829
873,1523,636,1073,999
874,1612,715,1012,941
877,1600,540,877,752
878,1409,426,824,716
881,1688,740,983,852
883,1658,852,1029,1047
889,1523,480,843,743
890,1685,830,1096,910
895,1732,678,899,795
896,1529,517,847,815
899,1556,613,897,927
902,1464,426,737,673
911,1575,625,917,834
912,1513,768,1052,1065
914,1649,639,861,828
917,1684,633,857,831
918,1550,526,885,822
922,1627,622,882,765
924,1599,641,930,880
928,1629,490,792,762
934,1547,693,972,914
938,1604,570,863,812
939,1631,660,939,865
952,1670,659,947,827
956,1567,659,953,875
957,1720,644,904,790
958,1639,689,900,875
960,1682,949,1147,1139
961,1720,630,874,792
963,1641,639,893,881
967,1647,874,1033,1069
972,1644,821,1110,1042
980,1617,697,1035,838
993,1615,822,1077,975
999,1566,578,901,816
1000,1573,713,1023,966
1004,1699,843,1126,907
1007,1660,663,864,734
1015,1630,589,900,812
1018,1639,862,1100,1113
1019,1576,605,981,907
1022,1592,616,884,755
1023,1606,715,1030,910
1028,1635,549,825,757
1031,1688,647,949,768
1035,1634,796,1015,946
1037,1646,576,925,741
1040,1517,548,845,782
1043,1533,570,948,881
1052,1608,582,830,775
1053,1636,553,889,718
1054,1555,698,1005,871
1058,1543,666,954,920
1059,1744,670,925,812
1061,1587,618,947,818
1063,1655,582,899,787
1064,1612,796,1033,948
1066,1709,823,996,972
1067,1547,567,906,763
1077,1685,704,906,824
1080,1700,760,1005,877
1090,1643,702,990,953
1093,1697,927,1039,963
1096,1662,704,936,805
1097,1601,590,882,776
1102,1475,575,903,828
1109,1562,607,944,821
1110,1507,577,875,797
1111,1468,499,881,764
1112,1636,687,926,847
1113,1585,680,1021,863
1120,1635,617,896,833
1121,1498,462,841,737
1125,1574,618,914,883
1127,1552,631,881,812
1128,1572,653,929,838
1132,1575,598,892,856
1134,1705,755,1071,940
1135,1603,702,987,907
1136,1593,655,961,832
1141,1602,523,882,700
1146,1567,750,1082,951
1149,1617,765,1030,951
1152,1628,695,933,807
1153,1536,637,917,852
1154,1530,602,874,880
1165,1563,653,956,895
1166,1677,669,824,811
1167,1615,668,945,856
1171,1743,657,863,756
1175,1637,857,1103,932
1176,1544,560,854,746
1183,1588,616,851,798
1186,1674,776,974,784
1188,1620,666,1001,930
1189,1613,549,790,740
1190,1541,539,854,818
1200,1586,685,985,869
1209,1502,505,826,740
1212,1585,634,956,837
1217,1648,653,834,785
1225,1563,614,912,855
1228,1636,577,834,825
1230,1707,634,928,837
1232,1633,734,998,895
1234,1618,662,919,911
1247,1548,647,986,889
1250,1640,667,865,827
1252,1591,558,848,788
1255,1529,563,947,847
1258,1510,642,945,827
1260,1600,583,859,815
1263,1618,735,1072,906
1268,1776,889,1035,995
1269,1546,532,845,705
1273,1629,565,870,781
1284,1531,503,874,761
1285,1505,607,964,905
1290,1554,601,927,810
1295,1599,654,967,854
1300,1543,623,965,895
1317,1658,771,999,900
1323,1634,630,893,819
1326,1645,721,1009,878
1328,1537,444,805,690
1331,1458,445,808,694
1343,1595,512,840,719
1351,1534,603,995,886
1359,1674,850,1022,933
1360,1527,643,995,883
1364,1570,463,807,668
1370,1627,645,915,801
1372,1583,661,1032,900
1377,1605,833,1030,981
1381,1584,712,1052,908
1387,1615,695,1033,991
1388,1584,620,939,850
1389,1664,669,954,814
1390,1545,543,893,830
1392,1673,625,842,701
1404,1561,589,920,904
1405,1623,643,925,825
1407,1661,760,1074,901
1415,1495,526,928,841
1421,1672,769,920,860
1423,1664,609,894,765
1428,1534,568,952,812
1433,1673,775,1010,903
1438,1568,638,1001,925
1441,1595,831,1083,968
1442,1697,962,1053,1095
1452,1635,719,1053,1045
1454,1596,618,920,757
1458,1505,575,903,930
1464,1648,626,964,833
1469,1674,622,913,807
1473,1560,846,1112,1056
1474,1664,618,814,711
1476,1620,692,924,778
1477,1567,469,764,637
1478,1689,674,873,790
1480,1596,644,861,840
1485,1628,703,985,858
1489,1628,743,955,941
1490,1627,648,918,840
1492,1582,548,830,790
