,stature,weightkg,chestcircumference,waistcircumference,size,color,nearest
0,1665,534,839,708,medium,1.0,185.15128949051368
1,1660,782,1008,923,xl,4.0,368.5430775363987
2,1671,760,968,914,large,3.0,354.0353089735542
3,1668,742,1034,942,xl,4.0,336.87980052238214
4,1599,709,989,929,xl,4.0,277.2760357477725
5,1579,708,1026,1000,xl,4.0,269.82401672201087
6,1446,488,832,742,medium,1.0,66.03029607687671
7,1619,610,904,821,large,3.0,199.40160480798542
8,1592,658,951,930,large,3.0,227.437903613272
9,1608,748,945,865,large,3.0,316.96687524093113
10,1546,607,946,832,large,3.0,163.6001222493431
11,1605,689,940,878,large,3.0,261.04788832702707
12,1670,854,1090,1062,xxl,5.0,438.31039230207625
13,1635,790,1132,987,xxl,5.0,365.8209944768069
14,1617,618,890,805,large,3.0,204.7266470198738
15,1581,614,896,839,large,3.0,182.91254740995763
16,1554,730,1092,1001,xxl,5.0,285.1596044323249
17,1756,737,920,860,large,3.0,384.5841910427416
18,1566,693,1071,922,xxl,5.0,251.80349481291955
19,1581,674,998,917,xl,4.0,238.19529802244207
20,1609,686,930,865,large,3.0,259.95576546789647
21,1642,555,852,759,medium,1.0,176.60407696313243
22,1669,593,841,694,medium,1.0,221.38202275704322
23,1745,998,1057,1068,xl,4.0,600.2741040558055
24,1495,581,986,948,xl,4.0,131.0953851209111
25,1493,642,951,912,large,3.0,192.12756179163884
26,1625,665,978,822,xl,4.0,248.69660230891776
27,1670,685,978,885,xl,4.0,290.0431002454635
28,1616,579,870,764,large,3.0,173.4848696572701
29,1730,591,921,809,large,3.0,269.77953962448674
30,1501,450,846,739,medium,1.0,1.0
31,1515,572,959,826,large,3.0,122.9186723000212
32,1576,721,1022,962,xl,4.0,281.4551474036316
33,1737,791,936,889,large,3.0,415.27099585692235
34,1604,628,981,831,xl,4.0,206.15528128088303
35,1673,788,1037,958,xl,4.0,379.7011983125679
36,1538,752,1052,1070,xl,4.0,304.381339769704
37,1620,613,930,858,large,3.0,202.4080037943164
38,1733,742,937,859,large,3.0,373.5679322425842
39,1624,661,985,880,xl,4.0,244.73863609981976
40,1507,505,844,759,medium,1.0,55.44366510251645
41,1675,610,862,731,large,3.0,237.11811402758752
42,1526,581,863,820,large,3.0,133.55523202031435
43,1584,575,815,740,medium,1.0,150.60212481900777
44,1671,797,1057,1024,xl,4.0,386.84622267769396
