,stature,weightkg,crotchheight,waistcircumference,size,color
0,1776,815,877,933,xl,cornflowerblue
1,1702,726,851,870,large,lightsteelblue
2,1735,929,854,964,large,lightsteelblue
3,1655,794,769,857,medium,slategrey
4,1914,946,1014,868,xxxl,blue
5,1720,802,828,950,large,lightsteelblue
6,1810,1162,874,1073,xl,cornflowerblue
7,1850,954,934,1010,xxl,royalblue
8,1777,995,875,1065,xl,cornflowerblue
9,1811,702,909,824,large,lightsteelblue
10,1780,882,839,994,large,lightsteelblue
11,1733,701,872,866,large,lightsteelblue
12,1814,1037,923,986,xxl,royalblue
13,1861,1116,913,1045,xxl,royalblue
14,1709,896,804,1007,medium,slategrey
15,1740,924,885,1033,xl,cornflowerblue
16,1694,779,810,908,medium,slategrey
17,1766,969,860,1028,large,lightsteelblue
18,1748,760,876,874,large,lightsteelblue
19,1794,908,861,999,xl,cornflowerblue
20,1780,714,863,837,large,lightsteelblue
21,1680,746,785,880,medium,slategrey
22,1653,792,807,978,medium,slategrey
23,1959,915,1019,827,xxxl,blue
24,1755,965,819,1030,large,lightsteelblue
25,1630,675,788,885,medium,slategrey
26,1825,1073,866,1130,xl,cornflowerblue
27,1795,793,857,912,large,lightsteelblue
28,1745,782,857,864,large,lightsteelblue
29,1818,882,864,965,xl,cornflowerblue
30,1881,715,924,777,xl,cornflowerblue
31,1760,947,854,1063,large,lightsteelblue
32,1675,665,822,870,large,lightsteelblue
33,1852,879,920,966,xxl,royalblue
34,1785,675,865,806,large,lightsteelblue
35,1791,884,867,1096,xl,cornflowerblue
36,1685,695,815,895,large,lightsteelblue
37,1850,1218,892,1214,xl,cornflowerblue
38,1737,719,857,790,medium,slategrey
39,1743,881,818,1002,large,lightsteelblue
40,1744,575,836,748,medium,slategrey
41,1679,876,823,1043,large,lightsteelblue
42,1836,850,870,864,large,lightsteelblue
43,1730,865,829,969,large,lightsteelblue
44,1762,958,841,1095,large,lightsteelblue
45,1669,667,765,770,small,asd
46,1740,706,838,840,medium,slategrey
47,1709,847,815,1028,large,lightsteelblue
48,1879,1013,904,1021,xl,cornflowerblue
49,1674,856,789,1061,medium,slategrey
50,1779,1095,829,1139,large,lightsteelblue
51,1844,834,894,922,xl,cornflowerblue
52,1637,727,801,995,medium,slategrey
53,1754,986,833,1047,large,lightsteelblue
54,1704,773,796,885,medium,slategrey
55,1840,1400,897,1379,xl,cornflowerblue
56,1783,674,911,750,xl,cornflowerblue
57,1748,884,813,970,large,lightsteelblue
58,1703,988,839,1068,large,lightsteelblue
59,1852,952,890,1012,xl,cornflowerblue
60,1609,566,789,754,small,asd
61,1709,717,852,926,large,lightsteelblue
62,1835,717,900,827,large,lightsteelblue
63,1679,802,824,940,large,lightsteelblue
64,1742,988,821,1133,large,lightsteelblue
65,1698,662,825,843,medium,slategrey
