,stature,weightkg,chestcircumference,waistcircumference,size,color
0,1560,657,922,850,large,cornflowerblue
1,1665,534,839,708,medium,lightsteelblue
2,1711,663,874,727,large,cornflowerblue
3,1660,782,1008,923,xl,royalblue
4,1572,886,1089,1163,xxl,blue
5,1707,837,1031,968,xl,royalblue
6,1644,732,988,964,xl,royalblue
7,1671,760,968,914,large,cornflowerblue
8,1521,545,831,755,medium,lightsteelblue
9,1590,684,1010,944,xl,royalblue
10,1707,990,1065,935,xl,royalblue
11,1668,742,1034,942,xl,royalblue
12,1654,781,1063,995,xl,royalblue
13,1666,718,937,848,large,cornflowerblue
14,1599,709,989,929,xl,royalblue
15,1673,672,940,835,large,cornflowerblue
16,1647,620,835,772,medium,lightsteelblue
17,1678,595,897,805,large,cornflowerblue
18,1679,741,979,868,xl,royalblue
19,1615,605,853,792,medium,lightsteelblue
20,1517,800,1090,1137,xxl,blue
21,1674,747,941,881,large,cornflowerblue
22,1623,491,857,702,medium,lightsteelblue
23,1668,703,973,954,xl,royalblue
24,1644,715,975,796,large,cornflowerblue
25,1579,708,1026,1000,xl,royalblue
26,1446,488,832,742,medium,lightsteelblue
27,1620,691,921,912,large,cornflowerblue
28,1684,730,1032,913,xl,royalblue
29,1619,610,904,821,large,cornflowerblue
30,1592,658,951,930,large,cornflowerblue
31,1655,709,950,901,large,cornflowerblue
32,1723,728,965,935,large,cornflowerblue
33,1677,846,1115,1077,xxl,blue
34,1654,945,1170,1112,xxl,blue
35,1634,627,895,812,large,cornflowerblue
36,1683,578,944,869,large,cornflowerblue
37,1552,524,833,712,medium,lightsteelblue
38,1617,732,1025,1057,xl,royalblue
39,1588,791,982,964,xl,royalblue
40,1641,894,1060,1134,xl,royalblue
41,1685,689,991,869,xl,royalblue
42,1656,758,994,942,xl,royalblue
43,1603,731,1071,1019,xxl,blue
44,1608,748,945,865,large,cornflowerblue
45,1664,806,1094,975,xxl,blue
46,1619,714,932,814,large,cornflowerblue
47,1620,712,1013,947,xl,royalblue
48,1720,657,910,794,large,cornflowerblue
49,1582,477,793,679,medium,lightsteelblue
50,1720,696,954,890,large,cornflowerblue
51,1720,1196,1161,1334,xxl,blue
52,1701,887,1135,1076,xxl,blue
53,1627,754,1095,1007,xxl,blue
54,1536,678,1014,897,xl,royalblue
55,1546,607,946,832,large,cornflowerblue
56,1654,572,814,766,medium,lightsteelblue
57,1605,689,940,878,large,cornflowerblue
58,1630,712,988,943,xl,royalblue
59,1612,604,904,825,large,cornflowerblue
60,1757,697,876,812,large,cornflowerblue
61,1670,854,1090,1062,xxl,blue
62,1632,617,943,914,large,cornflowerblue
63,1635,790,1132,987,xxl,blue
64,1682,672,977,868,xl,royalblue
65,1661,695,977,839,xl,royalblue
66,1596,669,1006,814,xl,royalblue
67,1596,574,936,804,large,cornflowerblue
68,1665,815,1065,925,xl,royalblue
69,1617,618,890,805,large,cornflowerblue
70,1555,645,900,811,large,cornflowerblue
71,1578,557,862,757,large,cornflowerblue
72,1581,614,896,839,large,cornflowerblue
73,1698,668,943,821,large,cornflowerblue
74,1554,730,1092,1001,xxl,blue
75,1756,737,920,860,large,cornflowerblue
76,1566,693,1071,922,xxl,blue
77,1651,757,1001,1012,xl,royalblue
78,1585,740,1126,981,xxl,blue
79,1657,682,982,870,xl,royalblue
80,1719,867,1069,931,xl,royalblue
81,1822,882,1061,895,xl,royalblue
82,1649,786,1031,925,xl,royalblue
83,1687,622,924,751,large,cornflowerblue
84,1698,782,999,1019,xl,royalblue
85,1530,608,865,784,large,cornflowerblue
86,1581,674,998,917,xl,royalblue
87,1609,686,930,865,large,cornflowerblue
88,1644,670,934,847,large,cornflowerblue
89,1548,635,856,785,medium,lightsteelblue
90,1606,773,979,1004,xl,royalblue
91,1642,555,852,759,medium,lightsteelblue
92,1622,727,1014,955,xl,royalblue
93,1669,593,841,694,medium,lightsteelblue
94,1745,998,1057,1068,xl,royalblue
95,1495,581,986,948,xl,royalblue
96,1493,642,951,912,large,cornflowerblue
97,1641,758,1068,989,xl,royalblue
98,1607,683,945,887,large,cornflowerblue
99,1560,471,826,698,medium,lightsteelblue
100,1625,665,978,822,xl,royalblue
101,1670,685,978,885,xl,royalblue
102,1616,579,870,764,large,cornflowerblue
103,1582,647,1080,943,xxl,blue
104,1730,591,921,809,large,cornflowerblue
105,1501,450,846,739,medium,lightsteelblue
106,1515,572,959,826,large,cornflowerblue
107,1576,721,1022,962,xl,royalblue
108,1628,676,878,849,large,cornflowerblue
109,1586,711,1029,951,xl,royalblue
110,1737,791,936,889,large,cornflowerblue
111,1576,536,834,790,medium,lightsteelblue
112,1626,639,931,811,large,cornflowerblue
113,1604,628,981,831,xl,royalblue
114,1673,788,1037,958,xl,royalblue
115,1642,598,981,761,large,cornflowerblue
116,1538,752,1052,1070,xl,royalblue
117,1574,686,1028,923,xl,royalblue
118,1637,668,946,949,large,cornflowerblue
119,1620,613,930,858,large,cornflowerblue
120,1733,742,937,859,large,cornflowerblue
121,1526,522,810,721,medium,lightsteelblue
122,1732,767,991,908,xl,royalblue
123,1624,661,985,880,xl,royalblue
124,1507,505,844,759,medium,lightsteelblue
125,1560,637,965,919,large,cornflowerblue
126,1640,666,985,908,xl,royalblue
127,1675,610,862,731,large,cornflowerblue
128,1526,581,863,820,large,cornflowerblue
129,1623,609,870,821,large,cornflowerblue
130,1584,575,815,740,medium,lightsteelblue
131,1671,797,1057,1024,xl,royalblue
132,1552,745,1137,932,xxl,blue
133,1633,614,874,827,large,cornflowerblue
134,1530,677,1004,896,xl,royalblue
135,1606,508,844,738,medium,lightsteelblue
136,1617,633,950,832,large,cornflowerblue
137,1645,711,1013,851,xl,royalblue
138,1681,727,960,859,large,cornflowerblue
139,1655,679,992,906,xl,royalblue
140,1626,833,1069,1028,xl,royalblue
141,1635,622,838,786,medium,lightsteelblue
142,1572,616,962,853,large,cornflowerblue
143,1608,573,899,745,large,cornflowerblue
144,1662,507,828,737,medium,lightsteelblue
145,1582,611,940,802,large,cornflowerblue
146,1701,866,1156,1045,xxl,blue
147,1602,523,886,763,large,cornflowerblue
148,1549,676,991,955,xl,royalblue
149,1561,549,899,719,medium,lightsteelblue
150,1677,571,889,746,large,cornflowerblue
151,1594,644,907,874,large,cornflowerblue
152,1628,649,940,772,large,cornflowerblue
153,1549,592,949,802,large,cornflowerblue
154,1559,563,866,719,medium,lightsteelblue
155,1619,580,907,862,large,cornflowerblue
156,1690,810,983,1044,xl,royalblue
157,1698,649,895,817,large,cornflowerblue
158,1705,654,892,817,large,cornflowerblue
159,1625,570,875,816,large,cornflowerblue
160,1666,805,1012,939,xl,royalblue
161,1559,671,1026,863,xl,royalblue
162,1595,673,977,915,xl,royalblue
163,1634,550,812,764,medium,lightsteelblue
164,1643,708,913,899,large,cornflowerblue
165,1667,538,943,782,large,cornflowerblue
166,1661,771,1032,897,xl,royalblue
167,1560,602,878,817,large,cornflowerblue
168,1610,719,971,900,xl,royalblue
169,1610,617,906,830,large,cornflowerblue
170,1682,761,1024,947,xl,royalblue
171,1604,739,1028,958,xl,royalblue
172,1540,560,881,767,large,cornflowerblue
173,1638,647,919,777,large,cornflowerblue
174,1656,724,918,896,large,cornflowerblue
175,1597,708,1118,968,xxl,blue
176,1749,953,1130,997,xxl,blue
177,1661,748,1002,879,xl,royalblue
178,1526,700,1039,1000,xl,royalblue
179,1583,655,934,931,large,cornflowerblue
180,1533,499,844,748,medium,lightsteelblue
181,1575,553,821,734,medium,lightsteelblue
182,1776,924,1072,1021,xxl,blue
183,1713,716,1084,874,xl,royalblue
184,1653,676,918,803,large,cornflowerblue
185,1516,641,1032,935,xl,royalblue
186,1658,666,971,810,xl,royalblue
187,1617,663,1022,882,xl,royalblue
188,1687,763,987,920,xl,royalblue
189,1603,717,1036,1085,xl,royalblue
190,1539,643,990,923,xl,royalblue
191,1603,591,965,840,large,cornflowerblue
192,1620,529,817,783,medium,lightsteelblue
193,1617,694,993,924,xl,royalblue
194,1600,699,1031,972,xl,royalblue
195,1572,592,877,774,large,cornflowerblue
196,1632,540,818,708,medium,lightsteelblue
197,1690,701,945,879,large,cornflowerblue
198,1682,681,916,830,large,cornflowerblue
199,1657,864,1050,980,xl,royalblue
200,1672,672,881,883,large,cornflowerblue
201,1621,559,912,754,large,cornflowerblue
202,1623,566,854,767,medium,lightsteelblue
203,1633,585,887,868,large,cornflowerblue
204,1526,628,1005,938,xl,royalblue
205,1570,467,825,682,medium,lightsteelblue
206,1616,599,874,762,large,cornflowerblue
207,1690,642,972,802,large,cornflowerblue
208,1637,813,1026,1060,xl,royalblue
209,1718,719,979,922,xl,royalblue
210,1588,548,873,783,large,cornflowerblue
211,1520,485,844,707,medium,lightsteelblue
212,1618,658,921,795,large,cornflowerblue
213,1631,753,1000,862,xl,royalblue
214,1642,636,938,929,large,cornflowerblue
215,1719,752,952,858,large,cornflowerblue
216,1715,755,931,784,large,cornflowerblue
217,1653,469,814,632,small,slategrey
218,1590,537,913,809,large,cornflowerblue
219,1751,758,950,912,large,cornflowerblue
220,1583,679,950,941,large,cornflowerblue
221,1627,684,915,854,large,cornflowerblue
222,1586,677,923,885,large,cornflowerblue
223,1675,617,909,783,large,cornflowerblue
224,1606,717,986,927,xl,royalblue
225,1680,642,870,785,large,cornflowerblue
226,1773,740,942,858,large,cornflowerblue
227,1680,792,1105,958,xxl,blue
228,1645,581,838,707,medium,lightsteelblue
229,1558,727,1086,1004,xxl,blue
230,1665,704,985,905,xl,royalblue
231,1601,653,960,989,large,cornflowerblue
232,1658,725,964,906,large,cornflowerblue
233,1623,721,1015,854,xl,royalblue
234,1661,561,862,738,large,cornflowerblue
235,1563,583,861,784,large,cornflowerblue
236,1630,677,927,871,large,cornflowerblue
237,1528,576,906,811,large,cornflowerblue
238,1653,559,847,728,medium,lightsteelblue
239,1512,468,841,763,medium,lightsteelblue
240,1629,567,855,793,medium,lightsteelblue
241,1675,820,1072,1001,xxl,blue
242,1498,664,988,922,xl,royalblue
243,1538,626,984,829,xl,royalblue
244,1567,653,938,850,large,cornflowerblue
245,1590,539,866,731,large,cornflowerblue
246,1573,750,1063,996,xl,royalblue
247,1595,704,949,871,large,cornflowerblue
248,1610,675,982,1036,xl,royalblue
249,1565,640,935,835,large,cornflowerblue
250,1523,470,845,665,medium,lightsteelblue
251,1570,502,836,671,medium,lightsteelblue
252,1556,597,949,769,large,cornflowerblue
253,1599,646,954,850,large,cornflowerblue
254,1611,726,940,936,large,cornflowerblue
255,1681,631,915,758,large,cornflowerblue
256,1585,631,925,888,large,cornflowerblue
257,1614,660,1032,941,xl,royalblue
258,1674,789,988,812,xl,royalblue
259,1653,531,838,704,medium,lightsteelblue
260,1593,708,992,1027,xl,royalblue
261,1592,625,969,885,large,cornflowerblue
262,1617,680,957,872,large,cornflowerblue
263,1589,734,1093,1041,xxl,blue
264,1597,688,997,859,xl,royalblue
265,1698,840,1090,1022,xxl,blue
266,1619,647,923,790,large,cornflowerblue
267,1663,561,844,711,medium,lightsteelblue
268,1606,735,1011,941,xl,royalblue
269,1609,733,997,1076,xl,royalblue
270,1696,605,943,797,large,cornflowerblue
271,1723,722,934,904,large,cornflowerblue
272,1748,908,1031,979,xl,royalblue
273,1695,760,985,888,xl,royalblue
274,1648,606,935,769,large,cornflowerblue
275,1579,573,872,807,large,cornflowerblue
276,1587,602,996,839,xl,royalblue
277,1604,669,994,975,xl,royalblue
278,1603,829,1131,1127,xxl,blue
279,1712,765,966,930,large,cornflowerblue
280,1628,671,908,907,large,cornflowerblue
281,1520,589,985,919,xl,royalblue
282,1640,615,896,839,large,cornflowerblue
283,1616,529,864,697,medium,lightsteelblue
284,1684,847,1095,1088,xxl,blue
285,1649,596,890,805,large,cornflowerblue
286,1677,666,965,844,large,cornflowerblue
287,1653,676,958,915,large,cornflowerblue
288,1638,658,926,862,large,cornflowerblue
289,1646,596,878,835,large,cornflowerblue
290,1619,735,951,1000,large,cornflowerblue
291,1530,556,858,789,medium,lightsteelblue
292,1603,561,870,777,large,cornflowerblue
293,1680,560,875,796,large,cornflowerblue
294,1602,871,1139,1017,xxl,blue
295,1447,736,1064,1074,xl,royalblue
296,1627,613,923,688,medium,lightsteelblue
297,1594,505,861,713,medium,lightsteelblue
298,1688,823,1057,1035,xl,royalblue
299,1547,561,896,827,large,cornflowerblue
300,1621,754,991,950,xl,royalblue
301,1625,593,904,805,large,cornflowerblue
302,1597,695,981,896,xl,royalblue
303,1602,820,1046,905,xl,royalblue
304,1614,583,952,833,large,cornflowerblue
305,1743,920,1067,1055,xl,royalblue
306,1603,841,1105,1071,xxl,blue
307,1576,842,1196,1111,xxxl,midnightblue
308,1619,660,999,871,xl,royalblue
309,1754,896,1052,969,xl,royalblue
310,1709,842,1014,942,xl,royalblue
311,1789,845,1048,964,xl,royalblue
312,1587,596,896,887,large,cornflowerblue
313,1687,688,943,838,large,cornflowerblue
314,1665,690,899,826,large,cornflowerblue
315,1573,748,996,950,xl,royalblue
316,1654,699,911,819,large,cornflowerblue
317,1582,691,1005,920,xl,royalblue
318,1575,566,873,744,large,cornflowerblue
319,1600,699,976,880,xl,royalblue
320,1584,468,834,740,medium,lightsteelblue
321,1535,701,986,829,xl,royalblue
322,1593,832,1062,1029,xl,royalblue
323,1583,789,1004,973,xl,royalblue
324,1608,592,896,845,large,cornflowerblue
325,1663,583,861,828,large,cornflowerblue
326,1609,746,951,1020,large,cornflowerblue
327,1513,428,772,675,medium,lightsteelblue
328,1704,853,1034,1007,xl,royalblue
329,1708,664,899,858,large,cornflowerblue
330,1506,577,955,804,large,cornflowerblue
331,1583,565,867,811,large,cornflowerblue
332,1731,714,971,864,xl,royalblue
333,1669,762,966,871,large,cornflowerblue
334,1640,556,800,824,medium,lightsteelblue
335,1613,561,812,724,medium,lightsteelblue
336,1640,641,946,849,large,cornflowerblue
337,1581,766,1008,918,xl,royalblue
338,1664,702,971,829,xl,royalblue
339,1562,561,918,799,large,cornflowerblue
340,1722,812,987,1017,xl,royalblue
341,1564,725,969,900,large,cornflowerblue
342,1589,686,979,917,xl,royalblue
343,1789,924,1017,970,xl,royalblue
344,1608,662,1058,884,xl,royalblue
345,1595,562,887,796,large,cornflowerblue
346,1590,564,859,785,medium,lightsteelblue
347,1575,653,980,870,xl,royalblue
348,1539,679,1037,905,xl,royalblue
349,1654,777,984,958,xl,royalblue
350,1616,632,959,855,large,cornflowerblue
351,1646,697,988,869,xl,royalblue
352,1548,681,900,875,large,cornflowerblue
353,1617,570,827,722,medium,lightsteelblue
354,1527,742,1089,1034,xxl,blue
355,1653,589,895,757,large,cornflowerblue
356,1606,750,1024,995,xl,royalblue
357,1700,744,948,812,large,cornflowerblue
358,1672,815,1131,954,xxl,blue
359,1728,765,988,928,xl,royalblue
360,1677,827,1098,1049,xxl,blue
361,1790,793,1033,958,xl,royalblue
362,1643,735,960,912,large,cornflowerblue
363,1584,620,955,822,large,cornflowerblue
364,1583,659,1023,935,xl,royalblue
365,1640,705,1000,957,xl,royalblue
366,1562,493,866,707,medium,lightsteelblue
367,1650,643,881,771,large,cornflowerblue
368,1656,654,950,806,large,cornflowerblue
369,1624,655,1020,1002,xl,royalblue
370,1631,856,1159,1044,xxl,blue
371,1715,632,866,815,large,cornflowerblue
372,1607,648,908,752,large,cornflowerblue
373,1600,604,883,831,large,cornflowerblue
374,1571,702,993,880,xl,royalblue
375,1603,659,920,817,large,cornflowerblue
376,1599,771,1122,938,xxl,blue
377,1602,524,829,797,medium,lightsteelblue
378,1642,685,925,773,large,cornflowerblue
379,1715,1017,1096,1103,xxl,blue
380,1634,487,862,679,medium,lightsteelblue
381,1657,824,1059,1055,xl,royalblue
382,1626,724,1086,856,xl,royalblue
383,1536,617,968,868,large,cornflowerblue
384,1698,696,908,818,large,cornflowerblue
385,1652,753,956,846,large,cornflowerblue
386,1611,785,1043,1032,xl,royalblue
387,1764,812,1003,911,xl,royalblue
388,1586,485,825,650,small,slategrey
389,1592,595,899,804,large,cornflowerblue
390,1782,740,958,880,large,cornflowerblue
391,1708,799,1028,970,xl,royalblue
392,1650,645,957,841,large,cornflowerblue
393,1612,725,1007,949,xl,royalblue
394,1660,600,842,766,medium,lightsteelblue
395,1629,630,884,811,large,cornflowerblue
396,1630,762,992,978,xl,royalblue
397,1743,696,913,738,large,cornflowerblue
398,1688,818,1152,1001,xxl,blue
399,1580,508,836,705,medium,lightsteelblue
400,1610,665,957,901,large,cornflowerblue
401,1556,400,757,620,small,slategrey
402,1585,736,985,1000,xl,royalblue
403,1685,770,1036,952,xl,royalblue
404,1592,630,943,823,large,cornflowerblue
405,1698,761,960,919,large,cornflowerblue
406,1648,690,875,886,large,cornflowerblue
407,1575,573,879,791,large,cornflowerblue
408,1602,617,935,794,large,cornflowerblue
409,1669,663,886,822,large,cornflowerblue
410,1637,850,1018,996,xl,royalblue
411,1690,601,929,798,large,cornflowerblue
412,1664,655,935,795,large,cornflowerblue
413,1710,716,932,940,large,cornflowerblue
414,1596,611,906,716,medium,lightsteelblue
415,1656,1000,1150,1164,xxl,blue
416,1586,791,991,870,xl,royalblue
417,1653,676,1000,886,xl,royalblue
418,1661,740,1045,831,xl,royalblue
419,1495,501,862,749,large,cornflowerblue
420,1633,587,900,811,large,cornflowerblue
421,1652,696,976,850,xl,royalblue
422,1596,599,899,779,large,cornflowerblue
423,1715,809,1003,1009,xl,royalblue
424,1724,788,995,939,xl,royalblue
425,1741,797,955,907,large,cornflowerblue
426,1707,746,910,851,large,cornflowerblue
427,1684,740,945,917,large,cornflowerblue
428,1586,569,892,780,large,cornflowerblue
429,1611,829,1066,1046,xl,royalblue
430,1658,770,1040,939,xl,royalblue
431,1673,751,980,909,xl,royalblue
432,1770,889,1100,1076,xxl,blue
433,1574,661,872,799,large,cornflowerblue
434,1715,842,1059,1009,xl,royalblue
435,1525,558,852,865,medium,lightsteelblue
436,1650,983,1142,1154,xxl,blue
437,1537,535,870,814,large,cornflowerblue
438,1568,581,880,801,large,cornflowerblue
439,1569,684,892,830,large,cornflowerblue
440,1711,725,957,807,large,cornflowerblue
441,1639,757,1070,1073,xl,royalblue
442,1638,733,962,946,large,cornflowerblue
443,1756,704,930,845,large,cornflowerblue
444,1618,590,895,748,large,cornflowerblue
445,1745,835,1050,1003,xl,royalblue
446,1569,635,925,814,large,cornflowerblue
447,1668,546,895,782,large,cornflowerblue
448,1619,610,895,780,large,cornflowerblue
449,1657,820,1101,1016,xxl,blue
450,1628,685,910,847,large,cornflowerblue
451,1660,574,903,803,large,cornflowerblue
452,1683,616,878,733,large,cornflowerblue
453,1672,678,846,866,medium,lightsteelblue
454,1623,558,836,745,medium,lightsteelblue
455,1672,588,870,705,medium,lightsteelblue
456,1619,591,869,784,large,cornflowerblue
