,stature,weightkg,chestcircumference,waistcircumference,size,color
0,1776,815,1074,933,large,cornflowerblue
1,1702,726,1021,870,large,cornflowerblue
2,1735,929,1120,964,large,cornflowerblue
3,1655,794,1114,857,large,cornflowerblue
4,1914,946,1048,868,large,cornflowerblue
5,1720,802,1066,950,large,cornflowerblue
6,1810,1162,1208,1073,xl,royalblue
7,1850,954,1087,1010,large,cornflowerblue
8,1777,995,1181,1065,xl,royalblue
9,1811,702,964,824,medium,lightsteelblue
10,1780,882,1117,994,large,cornflowerblue
11,1733,701,961,866,medium,lightsteelblue
12,1814,1037,1151,986,xl,royalblue
13,1861,1116,1231,1045,xxl,blue
14,1709,896,1060,1007,large,cornflowerblue
15,1740,924,1092,1033,large,cornflowerblue
16,1694,779,1085,908,large,cornflowerblue
17,1766,969,1118,1028,large,cornflowerblue
18,1748,760,999,874,medium,lightsteelblue
19,1794,908,1127,999,xl,royalblue
20,1780,714,1000,837,medium,lightsteelblue
21,1680,746,977,880,medium,lightsteelblue
22,1653,792,1079,978,large,cornflowerblue
23,1959,915,1011,827,medium,lightsteelblue
24,1755,965,1098,1030,large,cornflowerblue
25,1630,675,957,885,medium,lightsteelblue
26,1825,1073,1158,1130,xl,royalblue
27,1795,793,964,912,medium,lightsteelblue
28,1745,782,971,864,medium,lightsteelblue
29,1818,882,1057,965,large,cornflowerblue
30,1881,715,957,777,small,slategrey
31,1760,947,1108,1063,large,cornflowerblue
32,1675,665,947,870,medium,lightsteelblue
33,1852,879,1043,966,large,cornflowerblue
34,1785,675,965,806,small,slategrey
35,1791,884,1174,1096,xl,royalblue
36,1685,695,951,895,medium,lightsteelblue
37,1850,1218,1182,1214,xl,royalblue
38,1737,719,981,790,small,slategrey
39,1743,881,1086,1002,large,cornflowerblue
40,1744,575,865,748,small,slategrey
41,1679,876,1205,1043,xl,royalblue
42,1836,850,1013,864,medium,lightsteelblue
43,1730,865,1152,969,xl,royalblue
44,1762,958,1096,1095,large,cornflowerblue
45,1669,667,957,770,small,slategrey
46,1740,706,985,840,medium,lightsteelblue
